Unnamed: 0,disease,symptoms
233,Dimorphic Hemmorhoids (piles),"abdominal distention, abnormal or increased menstrual bleeding in females, abnormal vaginal bleeding between periods, back pain, bad breath, bladder or bowel problems, bleeding after sex, bleeding gums, bleeding or spotting from the vagina between periods, bloating or abdominal gas, blood in the stool, blood in the urine, bloodshot eyes, bowel or bladder incontinence, breast lumps that change in size with the menstrual period, breast lump or lump in the armpit that is hard, breasts that feel full, bright red or reddish-purple gums, brownish-red or copper-colored patch that is firm, flat on top, bulge in the groin or scrotum, change in the size, chills, chronic weight loss, clay-colored stools, cloudy, constipation, decreased appetite, difficulty in thinking, difficulty moving the eyes, enlarged lymph nodes, excess growth of breast tissue, eye pain, eye strain, failure to gain weight, fast or irregular heartbeat, fatigue, feeling of incomplete bladder emptying, fever, flank pain, foamy appearance of urine, gums that are tender when touched, hard stools, headache, headache between the eyes, headache while reading, headaches, headaches that come, go, headache in one or more parts of the head, heavy menstrual periods, hypoglycemia, incomplete emptying of your bladder, indigestion, infections that keep coming back, infertility, intense itching or burning eyes, irritability, leakage of liquid or sudden episodes of watery diarrhea, lethargy, light sensitivity, long-term pelvic or low back pain that may occur at any time, last for 6 months or more, loss of appetite, loss of vision, low back pain, low platelet count, low white cell count, malaise, mouth sores, movement of the lens of the eye from its normal position, muscle aches in the lower back, muscle weakness in the arms, nausea, vomiting, open sores with dead tissue, pain in the abdomen, pain may move to the groin area, pain or discomfort in both breasts that may come, go with your period, pain or feeling of fullness below the ribs from an enlarged liver or spleen, pain or fullness in the upper left belly, pain with bowel movements, painful periods, painful sexual intercourse, palpitations, premature abdominal fullness after meals, pressure, pressure under the lower left ribs from a swollen spleen, problems falling or staying asleep, prominent or bulging eyes, puffy eyelids, rainbow-like halos around lights, rash may appear on the palms, soles, rash or patch on the skin, rectal bleeding, rectal discharge or pain, rectal pain while having a bowel movement, recurrent infections, red eyes, reflux with vomiting, restlessness when awake, severe pain or burning in the nose, shiny appearance to gums, shock, skin ulcers, slight blurring of vision due to excess oil in tears, small, sores on the inside of the cheeks or gums, stiffness in the neck, stomach pain on the left side, straining when trying to pass stools, string of bumps may appear in a line, sudden groin or thigh pain, swelling, redness of eyelid edges, swelling of abdomen, swelling of eye, swelling of feet, swelling of legs, swelling of the face, swollen gums, swollen lymph nodes in the groin or anal region, swollen lymph nodes in the neck, tearing, the ""red eye"" glow of the pupil is missing in photos, trouble using the arms, hands or legs, feet due to weakness, unintentional weight loss, vaginal bleeding after douching or intercourse, vertigo, very sore mouth with no desire to eat, vomiting, watery diarrhea, weakness in a limb, weakness of an arm or leg, weakness of the ankles or feet, bloody_stool, pain_during_bowel_movements, pain_in_anal_region, reduced exercise ability, semi-formed stools, severe infections, sharp pain in one part of the leg, sometimes bloody, swelling of ankles, swollen, testicles, foggy, fuzzy, hip, ill feeling or uneasiness, irritation_in_anus, lips, liver, may seem like a migraine, neck, or belly area, or buttocks, or feel of the breast or nipple, or filmy vision, or heavy, or is different between the 2 eyes, or knees, or sleep that is restless, unsatisfying, or spasms in your back or the lower part of your belly, or spleen, or tongue, pain, radiating along both legs, thighs, under arms, weakness"
234,Dimorphic Hemmorhoids(Piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region"
235,Diphtheria,"thick, gray membrane covering the throat, tonsils, sore throat, hoarseness, swollen glands, enlarged lymph nodes, difficulty breathing, rapid breathing, nasal discharge, fever, chills, tiredness, redness, swelling, ulcers covered by a gray membrane"
236,Dislocated Shoulder,"deformed or out-of-place shoulder, swelling or bruising, intense pain, inability to move the joint, numbness, weakness or tingling, spasm"
237,Dissociative Disorders,"suicidal thoughts, suicidal behaviors, derealization, depersonalization, feeling possessed, memory loss, amnesia, confused wandering, dissociative fugue, traumatic flashbacks, detachment, distorted perception, blurred sense of identity, stress, problems in relationships, inability to cope with stress, mental health problems, depression, anxiety, alternate identities, feeling people talking inside your head, feeling people living inside your head, foggy feeling, dreamlike feeling, slowed time, sped up time"
238,Dizziness,"dizziness, nausea, false sense of motion, spinning, vertigo, lightheadedness, feeling faint, unsteadiness, loss of balance, feeling of floating, wooziness, heavy-headedness"
239,Double Uterus,"menstrual bleeding that isn't stopped by a tampon, severe pain with menstruation, repeated miscarriages"
240,Down Syndrome,"intellectual, developmental problems, affected memory, slow growth, short height, cognitive impairment, delayed language, heart defects, distinct facial features, short hands, single crease in the palm, short fingers, small hands, small feet, excessive flexibility, brushfield's spots, flattened face, small head, short neck, protruding tongue, upward slanting eye lids, unusually shaped ears, poor muscle tone"
241,Dresslers Syndrome,"chest pain, fever"
242,Drug Addiction,"feeling ""high"", reduced sense of pain, agitation, feeling of being separated from your body, surroundings, hallucinations, problems with coordination, movement, aggressive, intense urges for the drug, euphoria, heightened sense of visual, auditory, taste perception, extreme anxiety, paranoia, increased heart rate, increased blood pressure, heart attack, vomiting, confusion, violent behavior, red eyes, dry mouth, decreased coordination, difficulty concentrating, difficulty remembering, slowed reaction time, paranoid thinking, cannabis odor on clothes, yellow fingertips, major cravings for certain foods, decreased mental sharpness, poor performance at school or at work, ongoing cough, frequent lung infections, drowsiness, slurred speech, lack of coordination, irritability, changes in mood, problems concentrating, problems thinking clearly, memory problems, involuntary eye movements, lack of inhibition, slowed breathing, reduced blood pressure, falls, accidents, dizziness, smaller than usual pupils, lack of awareness, inattention, depression, constipation, runny nose, nose sores, needle marks, gum disease, tooth decay, insomnia, larger than usual pupils, chills, sweating, involuntary shaking (tremors), behavior changes, muscle cramping, teeth clenching, muscle relaxation, elevated mood, altered sense of visual, auditory, taste perception, loss of muscle control, panic attacks, delirium, psychotic behavior, brief happy excitement, behaving as if drunk, reduced ability to keep impulses under control, eagerness to fight, weight loss, weight gain, problems at school, problems at work, changes in behavior, money issues, physical health issues, neglected appearance, muscle relaxation, slow movements, irregular heartbeats, tremors, lingering odor of inhalant material, rash around the nose, mouth, heightened or altered sense of sight, sound, taste, poor judgment, memory loss, reduced consciousness, increased or decreased heart rate, high blood pressure, impulsive behavior, rapid shifts in emotions, permanent mental changes in perception, rapid heart rate, flashbacks, poor performance, delusions, intolerance to loud noise, seizures, coma, increased sociability, increased energy, increased sex drive, problems thinking clearly, paranoia, psychotic, violent behavior, confusion, memory loss, drowsiness, sedation"
243,Drug Allergy,"trouble breathing, nausea, abdominal cramps, vomiting, diarrhea, dizziness, lightheadedness, weakness, confusion, skin rash, hives, itching, fever, swelling, shortness of breath, wheezing, runny nose, fast pulse, drop in blood pressure, seizure, loss of consciousness, general swelling, high white blood cell count, irregular heartbeats, joint pain, tightening of the airways, throat, rash, fatigue, swollen lymph nodes, watery eyes"
244,Drug Reaction,"pink or purple color to the normally white part of the eye, abdominal cramps, abdominal pain, abnormal breathing sounds (stridor), abnormal coloring of the retina, abnormal shape of the lens, abnormal urine color, arthritis, back pain, blistering that is present at birth, blisters in or around the mouth, throat, blisters on the skin as a result of minor injury or temperature change, blisters around the eyes, nose, blood in the urine, bluish skin(fingernails, lips), bowel or bladder incontinence, carpal tunnel syndrome, change in sleep patterns, confusion, convulsions (seizures), corneal erosion, cough, darkening of the skin, deafness, decreased ability to feel touch or pain (sensation), decreased ability to move any part of the body, delusions, difficulty breathing, difficulty doing basic tasks, difficulty lifting, difficulty performing more than one task at a time, difficulty reading or writing, difficulty swallowing -- choking easily, enlarged pupil in one eye, excessive gas, excessive sweating, excessive thirst, eye pain, eye tenderness, fainting/drowsiness, fatigue(feeling tired), fever-- usually low-grade, firm skin bumps, flank pain(between the ribs, hips), fluid-filled blisters, forgetting details about current events, getting lost on familiar routes, hair loss, hallucinations, head drop due to weakness of the neck muscles, headache, hearing loss, high blood pressure, hives (especially over the neck, face), hoarse cry, hoarseness, feeling like i'm going to pass out when i have a fever, spinning head, feeling sick when i have a fever, nausea, lightheaded, dizzy, heart beating very fast, foggy, can't think clearly, woozy, heart pounding, can't think straight, blurry, hard time concentrating, mind is not clear, trouble remembering things, nausea, chest pain, shivering, anxious, shaky, metallic taste in mouth, change in taste, smell, muscle, joint aches, rash on back, chest, itchy, dry skin, flaky skin, skin peel off, susceptible to illnesses, hands shake, changes in menstrual cycle, unexpected vaginal discharge, agitated, moody, chest pain, sweat, migraines, difficulty sleeping, muscle twitching, tremors, weight gain, craving different foods, eating more, obese, urges, appetites, change in hair texture, dry, itchy sclap, increased dandruff, hair shedding, not interested in sex, dizziness, disoriented, mood swings, irritable, nervous, inclinations, cravings, impaired heart function, intense itching or burning eyes, itching, language problems, lethargy, light sensitivity, liver failure, losing interest in things previously enjoyed, flat mood, loss of appetite, macular hole, malaise(general discomfortness, misplacing items, mitten-like hands or feet, muscle contractions, muscle cramps, muscle pain, muscle stiffness, nail problems, nasal congestion, nausea, vomiting, obesity, persistent hiccups, personality changes, loss of social skills, problems with smell, progressive kidney failure, puffy eyelids, rashes, rectal pain while having a bowel movement (tenesmus), red eyes, redness around the skin eruptions, runny nose, sensations may be tingling, shortness of breath, skin redness, slowed growth, sneezing, speech problems, stringy eye discharge, swollen lymph nodes in the neck, tearing (watery eyes), tearing of the eye, tender or sore skin, tenderness, swelling of the skin on the arms, thickened skin that looks puckered, thickening of skin on hands, feet, throbbing pain with itching or burning sensation, tiny white bumps on previously injured skin, unconsciousness, unintentional weight loss, urination difficulty, visual impairment, blindness, warm skin in the affected area, warm skin in the area of redness, waxy skin bumps, weakness of the face, facial asymmetry, wheezing, widened blood vessels in the clear tissue covering the white of the eye, yellowing of skin, whites of the eyes (jaundice), can't sleep, trembling, fasciculations, burning_micturition, feeding problems, swallowing difficulty, climbing stairs, continuous or stabbing, depression, diarrhea, drooling, especially of the feet, general swelling, ill feeling or uneasiness, including missing or deformed nails, legs, more so in the right, often waking up at night, emotional changes, gagging, breathing problems, joints (most often on both sides of the body), skin_rash, smelling an odor that is not actually there, spotting_ urination, staring spells, stomach_pain, slow or abnormal speech pattern (slurring of words), trouble remembering the names of familiar objects, weakness, body marks, body stains, decreased sex drive, brain fog, dandruff"
